"","X","ID","day","beep","observationID","missing","Angry","Afraid","Anxious","Guilty","Embarrassed","Ashamed","Sad","Strong","Happy","Confident","Clarity"
"1",1,1,1,1,0,0,0,0,0,0.01,0,0,0.01,0,0.78,1,1
"2",2,1,1,2,1,0,0,0,0,0,0,0,0,0,1,1,1
"3",3,1,1,3,2,0,0,0,0,0,0,0,0,0,1,1,1
"4",4,1,1,4,3,0,0,0,0,0,0,0,0,0,0.93,0.99,0
"5",5,1,1,5,4,0,0,0,0,0,0,0,0,0,1,0.97,1
"6",6,1,1,6,5,0,0,0,0,0,0,0,0,0,1,1,1
"7",7,1,1,7,6,0,0,0,0,0,0.04,0,0,0,0.99,0.91,0.98
"8",8,1,1,8,7,0,0,0.02,0,0,0,0,0,0,0.99,0.94,1
"9",9,1,1,9,8,0,0,0,0,0,0,0,0,0,0.98,1,0
"10",10,1,1,10,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,1,1,11,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,1,1,12,11,0,1,0,0.86,0,0,0.01,0.89,0.01,0.15,0.13,0.72
"13",13,1,1,13,12,0,0,0,0,0,0,0,0,0,1,1,1
"14",14,1,1,14,13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,1,1,15,14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,1,2,1,15,0,0.01,0,0,0,0.01,0.05,0,0,0.89,0.9,0.99
"17",17,1,2,2,16,0,0,0,0,0,0.07,0,0,0,1,1,1
"18",18,1,2,3,17,0,0,0.01,0.02,0.01,0,0,0,0,1,0.95,1
"19",19,1,2,4,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,1,2,5,19,0,0.12,0,0.01,0.01,0.03,0,0.01,0,0.87,0.83,0.94
"21",21,1,2,6,20,0,0.03,0.02,0.01,0.01,0,0.03,0.01,0,0.98,0.89,0.96
"22",22,1,2,7,21,0,0.03,0.04,0.08,0.08,0.13,0.1,0.07,0,0.99,0.99,0.99
"23",23,1,2,8,22,0,0.12,0.01,0.22,0,0,0.04,0,0,0.89,1,0.99
"24",24,1,2,9,23,0,0.03,0.04,0.04,0.11,0.02,0,0.06,0,1,0.92,0.99
"25",25,1,2,10,24,0,0,0,0.14,0.01,0,0.01,0.06,0,0.89,1,0.96
"26",26,1,2,11,25,0,0.02,0.05,0.03,0,0,0,0.03,0,1,1,1
"27",27,1,2,12,26,0,0,0,0.02,0,0.02,0.04,0,0,0,1,0.89
"28",28,1,2,13,27,0,0,0.09,0.09,0,0,0,0,0,0.53,0.93,1
"29",29,1,2,14,28,0,0.02,0,0,0,0,0,0,0,0.99,0.97,0.23
"30",30,1,2,15,29,0,0,0,0,0,0.05,0.05,0.15,NA,0.75,0.9,1
"31",31,1,3,1,30,0,0,0.09,0.04,0.02,0.03,0,0.12,0,0.03,0.98,0.96
"32",32,1,3,2,31,0,0.01,0,0,0,0,0.09,0.01,0,0,1,1
"33",33,1,3,3,32,0,0.07,0.08,0.08,0.12,0.13,0.1,0.04,0,1,1,0.99
"34",34,1,3,4,33,0,0,0,0.03,0,0,0,0,0,0.98,1,1
"35",35,1,3,5,34,0,0.11,0.04,0.05,0.02,0,0.03,0.06,0,0.96,1,0.99
"36",36,1,3,6,35,0,0.01,0.06,0.06,0,0,0,0,0,0.8,0.89,0.87
"37",37,1,3,7,36,0,0,0.05,0.03,0.02,0.05,0.03,0,0,1,1,1
"38",38,1,3,8,37,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",39,1,3,9,38,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",40,1,3,10,40,0,0,0,0,0,0,0,0,0,1,1,1
"41",41,1,3,11,41,0,0.04,0.11,0.04,0,0.05,0,0,0,0.88,0.95,0.96
"42",42,1,3,12,45,0,0.11,0.08,0,0,0.01,0.03,0,0,0.95,0.97,1
"43",43,1,3,13,47,0,0,0,0,0.05,0,0.01,0,0,0.93,0.99,0.94
"44",44,1,3,14,49,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",45,1,3,15,51,0,0.05,0.01,0.01,0,0,0.03,0.11,0,1,0.85,1
"46",46,1,3,16,52,0,0,0.01,0,0,0,0.01,0.01,0,1,1,1
"47",47,1,3,17,54,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",48,1,4,1,55,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",49,1,4,2,56,0,0,0,0,0,0,0,0,0,1,1,1
"50",50,1,4,3,58,0,0,0.03,0,0,0,0,0.1,0.01,0.94,0.93,1
"51",51,1,4,4,60,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",52,1,4,5,62,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",53,1,4,6,65,0,0,0,0,0,0,0,0,0,1,1,1
"54",54,1,4,7,67,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",55,1,4,8,69,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",56,1,4,9,71,0,0,0.06,0,0,0.02,0,0,0,1,0.93,0.97
"57",57,1,4,10,73,0,0.04,0.04,0.03,0.02,0.05,0.04,0.02,0,1,0.96,0.95
"58",58,1,4,11,74,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",59,1,4,12,75,0,0.06,0.06,0.06,0.01,0.04,0.04,0.05,0,0.82,0.95,1
"60",60,1,4,13,76,0,0.07,0.12,0.06,0.08,0.02,0.04,0.07,0,0.94,0.9,0.92
"61",61,1,4,14,78,0,0,0,0,0,0,0,0,0,1,1,1
"62",62,2,1,1,0,0,0,0.1,0.74,0,0,0,0,0,0.65,0.57,0.71
"63",63,2,1,2,1,0,0,0,0.62,0,0,0.01,0,0,0.6,0.54,0.59
"64",64,2,1,3,2,0,0,0,0.43,0,0,0,0.01,0,0.9,0.7,0.67
"65",65,2,1,4,3,0,0,0,0.4,0,0,0,0.12,0,0.5,0.62,0.71
"66",66,2,1,5,4,0,0.02,0.02,0.62,0.01,0.27,0,0.06,0,0.33,0.35,0.32
"67",67,2,2,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",68,2,2,2,6,0,0,0,0.32,0,0.18,0,0,0,0.64,0.2,0.55
"69",69,2,2,3,7,0,0,0,0.69,0,0,0,0,0,0.59,0.6,0.6
"70",70,2,2,4,8,0,0.01,0.01,0.73,0.01,0,0.01,0.07,0,0.43,0.34,0.43
"71",71,2,2,5,9,0,0,0,0.98,0,0,0.17,0.18,0,0.27,0.23,0.38
"72",72,2,2,6,10,0,0,0.2,0.7,0,0,0,0.06,0,0.49,0.56,0.38
"73",73,2,2,7,11,0,0,0,0.82,0,0.2,0,0.05,0,0.55,0.5,0.6
"74",74,2,2,8,12,0,0,0,0.66,0,0.15,0.01,0,0,0.59,0.61,0.5
"75",75,2,2,9,13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",76,2,2,10,14,0,0,0,0.34,0,0,0,0,0.01,0.61,0.72,0.34
"77",77,2,2,11,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",78,2,2,12,16,0,0.01,0.01,0.17,0.01,0,0.04,0,0,0.62,0.67,0.42
"79",79,2,2,13,17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",80,2,2,14,18,0,0,0,0.33,0,0,0,0.26,0,0.55,0.44,0.32
"81",81,2,2,15,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",82,2,2,16,20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",83,2,3,1,21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",84,2,3,2,22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",85,2,3,3,23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59
"86",86,2,3,4,24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",87,2,3,5,25,0,0,0,0.31,0,0,0,0,0,0.72,0.67,0.64
"88",88,2,3,6,26,0,0,0,0.41,0.02,0.09,0,0,0,0.61,0.49,0.63
"89",89,2,3,7,27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",90,2,3,8,28,0,0,0,0.32,0,0.01,0,0.02,0,0.64,0.51,0.56
"91",91,2,3,9,29,0,0,0,0.6,0,0,0,0,0,0.55,0.41,0.57
"92",92,2,3,10,30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",93,2,3,11,31,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",94,2,3,12,32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",95,2,3,13,33,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",96,2,3,14,34,0,0.46,0,0.32,0,0.1,0,0,0,0.35,0.46,0.56
"97",97,2,3,15,35,0,0.03,0,0.21,0,0.02,0.02,0.01,0,0.37,0.44,0.53
"98",98,2,4,1,36,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",99,2,4,2,37,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",100,2,4,3,38,0,0,0,0.29,0,0.28,0,0.2,0,0.5,0.48,0.38
"101",101,2,4,4,39,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",102,2,4,5,40,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",103,2,4,6,41,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",104,2,4,7,42,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",105,2,4,8,43,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",106,2,4,9,44,0,0,0.01,0.22,0,0.03,0,0,0,0.56,0.61,0.57
"107",107,2,4,10,45,0,0,0,0.16,0,0,0,0.05,0,0.65,0.52,0.35
"108",108,2,4,11,46,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",109,2,4,12,47,0,0,0,0.28,0,0,0,0.15,0,0.58,0.59,0.38
"110",110,2,4,13,48,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",111,2,4,14,49,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",112,2,5,1,50,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",113,2,5,2,51,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",114,2,5,3,52,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",115,2,5,4,53,0,0,0,0.19,0.16,0,0.17,0,0,0.46,0.41,0.42
"116",116,2,5,5,54,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",117,2,5,6,55,0,0,0,0.61,0,0.14,0.27,0.06,0,0.53,0.49,0.6
"118",118,2,5,7,56,0,0,0,0.01,0,0,0,0,0,0.72,0.68,0.68
"119",119,2,5,8,57,0,0,0,0.24,0.09,0,0,0.12,0,0.56,0.48,0.61
"120",120,2,5,9,58,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",121,2,5,10,59,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",122,2,5,11,60,0,0,0,0.15,0,0.11,0,0,0,0.59,0.7,0.6
"123",123,2,5,12,61,0,0,0,0.28,0,0,0,0,0,0.7,0.71,0.73
"124",124,2,5,13,62,0,0,0,0.28,0,0,0.05,0,0,0.66,0.78,0.68
"125",125,2,5,14,63,0,0,0,0.4,0,0,0,0,0,0.59,0.62,0.63
"126",126,2,6,1,64,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",127,2,6,2,65,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",128,2,6,3,66,0,0,0,0.07,0,0.02,0,0,0,0.89,0.87,0.68
"129",129,2,6,4,67,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",130,2,6,5,68,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",131,2,6,6,69,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",132,2,6,7,70,0,0.06,0,0.66,0,0.01,0,0.71,0,0.18,0.21,0.67
"133",133,2,6,8,71,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",134,2,6,9,72,0,0,0,0.61,0,0.19,0,0.19,0,0.59,0.58,0.63
"135",135,3,1,1,0,0,0,0,0,0,0,0,0,0,0.92,1,1
"136",136,3,1,2,1,0,0,0,0,0,0,0,0,0,1,1,1
"137",137,3,1,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",138,3,1,4,3,0,0,0.01,0,0,0,0,0,0,0.6,1,1
"139",139,3,1,5,4,0,0,0,0,0,0,0,0,0,0.68,0.73,0.9
"140",140,3,1,6,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141",141,3,1,7,6,0,0,0,0,0,0,0,0,0,0.8,1,1
"142",142,3,1,8,7,0,0,0,0,0,0,0,0,0,0.92,0.94,1
"143",143,3,1,9,8,0,0,0,0,0,0,0,0,0,1,1,1
"144",144,3,1,10,9,0,0.22,0,0.04,0,0,0,0,0,1,1,1
